,index,var_0,var_1,var_2,err_mean,ex_time,peak_mem_used
0,9254.0,30.0,9.0,17.0,12.588985153974413,245.187047958374,6.715196
1,1561.0,36.0,47.0,24.0,32.10323412635308,192.72995233535767,7.327239
2,1670.0,9.0,52.0,22.0,29.34721634358285,202.77321887016296,7.319801
3,6087.0,51.0,41.0,23.0,30.739106273000505,218.8604209423065,7.328375
4,6669.0,31.0,30.0,7.0,8.556222562148333,228.53636145591736,3.869304
5,5933.0,32.0,4.0,30.0,5.710737701762272,219.9290373325348,7.32894
6,8829.0,5.0,22.0,42.0,30.63851550666745,272.5344958305359,7.328911
7,7945.0,50.0,22.0,51.0,30.638515650812547,245.79034662246704,7.310489
8,3508.0,40.0,51.0,44.0,59.836269363860765,273.95039343833923,7.329025
9,2002.0,42.0,43.0,13.0,16.860735528341312,221.0196418762207,5.56339
10,5866.0,9.0,19.0,43.0,26.46264778716528,221.98517560958865,7.329032
11,168.0,38.0,5.0,21.0,7.069637536650983,242.38018441200256,7.319833
12,2588.0,41.0,40.0,27.0,36.27634035918447,254.70991444587708,7.32864
13,5905.0,25.0,28.0,37.0,38.94466934582587,217.8715283870697,7.327435
14,9529.0,47.0,19.0,27.0,26.462941415165787,274.3604273796081,7.328686
15,6384.0,49.0,29.0,25.0,33.47526240389383,218.6559863090515,7.309934
16,7824.0,35.0,43.0,9.0,11.333253616392255,237.5938575267792,4.415419
17,9779.0,38.0,27.0,18.0,23.803619814663907,265.0301537513733,6.972557
18,4629.0,44.0,10.0,48.0,13.99611662827474,219.9088649749756,7.329226
19,8560.0,11.0,49.0,37.0,50.14297689650356,271.03817439079285,7.328527
20,9291.0,45.0,49.0,11.0,14.105591999067054,254.7647852897644,4.986197
21,6874.0,17.0,45.0,29.0,39.05621870244247,225.85815334320068,7.315937
22,6521.0,16.0,39.0,41.0,53.88350495078502,215.99108242988584,7.328931
23,8979.0,37.0,31.0,40.0,43.10090846635197,251.17697191238403,7.310842
24,6647.0,32.0,32.0,27.0,36.25442382687197,243.40934300422668,7.315238
25,9825.0,21.0,34.0,25.0,33.50604735528719,264.03568410873413,7.309989
26,210.0,21.0,35.0,5.0,5.808655922779822,224.68247270584104,3.449557
27,5278.0,46.0,18.0,36.0,25.05952136400889,224.99671387672424,7.328727
28,1919.0,47.0,33.0,43.0,45.859397632159016,211.10781931877136,7.32885
29,718.0,9.0,24.0,24.0,32.10323412635308,226.42842650413516,7.32724
30,4868.0,31.0,13.0,52.0,18.13929987750136,226.59475660324097,7.328865
31,7834.0,33.0,36.0,5.0,5.808655922779822,243.8481547832489,3.435155
32,1298.0,44.0,49.0,28.0,37.66753609113521,203.5635106563568,7.327321
33,9193.0,34.0,33.0,48.0,45.85980455039711,253.1505689620972,7.328951
