var_0,var_1,var_2,var_3,var_4,var_5,var_6,error
26,22,14,16,10,40,36,1.5767918063317273e-07
46,22,46,39,35,3,17,0.9999498972478106
34,50,23,52,31,44,40,3.3829794487521036e-14
14,13,24,14,14,33,46,2.404855054350832e-08
18,35,24,36,26,40,9,3.67361257541335e-05
51,15,5,25,44,12,27,0.9902512681495885
6,16,10,18,37,32,41,0.9901569731240433
26,32,32,15,45,21,40,3.519835697541713e-11
36,35,20,39,14,5,51,0.9902512681408085
22,33,37,37,16,33,37,3.181698041602731e-10
36,13,5,43,19,35,10,0.9902423405097318
39,21,26,40,21,44,12,7.419291941700034e-07
28,47,24,35,18,16,30,6.247021987226096e-10
3,52,4,35,45,49,26,0.991351638590532
12,31,47,10,3,41,5,1575421153.1887147
16,13,21,49,10,10,48,3.006643991004568e-06
33,39,16,26,12,16,7,0.0005698760809635733
21,21,41,38,44,50,36,7.713016179852239e-13
34,38,32,50,30,25,49,2.082710079454329e-15
3,30,28,30,27,41,6,1074611633.2757351
24,23,13,36,27,28,23,3.540240490646865e-08
21,23,28,48,7,30,33,1597773332.6969504
15,31,43,9,51,16,47,0.19864010430933074
41,48,20,31,37,52,11,2.4697617549247974e-06
44,8,43,32,7,42,19,1597765550.5640302
40,19,18,27,10,3,11,0.9999499068528173
30,46,16,33,31,11,42,5.472624033378214e-07
27,33,22,45,36,51,39,1.3693368460283026e-13
45,21,41,45,29,42,38,5.500120623376158e-18
43,42,6,34,3,30,27,1593685368.5666287
9,32,17,30,36,3,32,0.999970700330551
29,15,26,47,36,51,28,7.977019485328399e-16
39,38,4,47,18,27,43,0.9999498969253682
30,30,10,38,49,29,25,2.1695678627235356e-06
37,23,8,20,30,33,33,1593685664.8758476
50,25,12,30,23,27,23,1.3647188675527155e-07
12,36,40,28,7,20,45,1595290561.1154768
15,32,8,44,27,5,31,0.9902514063536004
31,51,40,51,46,35,51,1.1553601765907835e-18
49,32,28,40,36,13,40,3.5245573202328235e-08
46,24,40,23,17,8,30,1593685404.011582
22,35,24,43,38,23,11,2.4697746760574967e-06
42,47,35,31,42,52,19,6.349160719078928e-11
42,4,8,33,37,3,3,0.9999498508070539
25,34,8,32,50,46,30,1593685544.4613051
29,36,28,26,5,22,4,1574552374.3606417
4,29,41,36,29,48,24,1571694864.6934013
48,28,49,33,27,35,45,7.998699298927707e-17
47,45,21,41,34,25,9,3.673666768992686e-05
27,16,46,36,46,44,21,2.0911574939642666e-12
26,52,23,43,42,21,32,5.477894258351005e-13
3,16,34,42,15,48,5,1074611633.2757351
42,14,38,29,10,16,8,0.00013582955239305292
15,31,23,30,51,43,39,3.300147986224655e-09
25,5,47,40,49,31,17,8.161552027533704e-10
24,5,30,51,46,21,42,1.5828871278628066e-11
25,47,47,42,11,8,48,1593685544.4613051
46,25,44,21,10,26,28,1.0308858954114805e-07
34,51,11,40,15,30,35,5.895673431713677e-07
28,20,6,39,35,11,44,1593685370.473719
15,35,9,20,25,43,16,39633.71592644449
11,23,49,29,29,27,32,0.007709822839687313
