var_0,var_1,var_2,var_3,var_4,var_5,var_6,error,time,memory_mean,memory_peak
46,16,18,33,23,34,17,1.1825956124774164e-09,99.1054232120514,47.25225,59.832781
22,24,37,52,35,17,51,0.033000834592530136,96.89366960525513,49.161786,61.677037
7,52,27,29,52,38,44,5316.361963316059,96.62126898765564,49.209681,61.724932
22,43,32,5,44,26,4,0.024334864835891406,98.83566498756409,47.245636,59.630329
21,34,38,13,36,42,34,3.5210546768369894e-10,98.91167449951172,49.209002,61.724253
36,47,33,17,17,38,46,8.553917873538857e-11,97.07747507095335,49.20997,61.725221
45,35,36,22,28,27,7,0.0005539075546925382,97.80163884162904,49.206074,61.721325
11,28,5,45,46,41,40,0.8319223183284522,76.05887937545776,11.997365,24.076657
27,8,6,48,5,18,43,1593686760.0251808,96.89682817459106,47.251857,59.636549
52,9,19,15,39,32,49,3.840167064022575e-11,76.15014982223511,11.99338,24.072672
10,44,36,22,28,26,21,0.1003624168444202,76.6277027130127,11.996942,24.076234
50,44,47,23,14,4,28,0.9999499203659156,96.29251623153688,47.251569,59.8321
26,9,24,50,18,48,13,1.8653786015198118e-07,75.79656219482422,11.998997,24.078289
15,44,29,45,6,27,46,958218173.6378624,98.37915182113647,49.206862,61.722113
46,36,16,33,41,13,12,3957.1728068231373,98.63885474205016,49.192632,61.708657
52,9,22,19,35,52,9,3.700391879220518e-05,75.56546902656555,11.999452,24.078744
16,10,47,11,11,49,28,3960.7654815266505,76.69349813461304,11.994878,24.07417
6,42,49,51,40,41,49,105039602.63993129,96.14913964271544,49.210649,61.72554
52,4,10,18,47,25,50,0.3306731634496315,75.73180294036865,11.999453,24.078745
36,48,10,3,48,44,12,1000.0,75.13353037834167,11.998229,24.077521
10,29,32,11,3,40,47,1593430801.8564823,75.86375117301941,11.998997,24.078289
27,3,44,3,4,48,28,1000.0,76.04968070983887,12.000539,24.079255
51,29,24,13,47,49,47,3.452345414016236e-10,99.67038464546204,49.203481,61.718732
39,31,26,43,29,29,27,1.3941126129126506e-15,101.22278475761414,48.61909,61.153935
48,6,41,40,33,50,43,3.9125496215692e-12,101.62084245681764,48.619949,61.154878
37,40,48,25,28,19,36,8.30770828084764e-12,97.39882946014404,49.096052,61.615601
48,26,33,8,21,48,7,0.0005559428019215111,99.0320737361908,47.25128,59.831811
28,6,3,8,41,35,21,0.9999499242841421,76.49254059791565,11.998587,24.077879
7,13,37,25,13,45,25,52484995.615433566,106.11721277236938,49.206184,61.721435
3,34,14,38,38,13,46,1000.0,77.19148206710815,11.997365,24.076657
36,52,4,16,16,25,31,0.9999499203557208,97.50937819480896,49.210589,61.529642
25,45,43,40,38,45,47,2.9546219581952313e-15,95.86203265190125,48.634611,61.16884
39,50,7,43,21,33,14,1593834269.2045758,97.97457027435304,48.624023,61.158678
7,10,44,24,46,47,13,5316.3619633366925,76.60593819618225,11.997365,24.076657
29,10,28,49,4,8,46,1593685899.8677633,75.65747427940369,11.998228,24.07752
35,29,16,36,39,21,12,0.06600281977175342,97.24927544593812,48.814106,61.346163
33,19,49,40,30,52,16,2.9831202718783755e-09,96.77591276168825,48.498224,61.031449
30,12,20,8,51,15,37,3.9328904455117855e-07,98.87875056266785,47.252249,59.83278
7,40,30,50,28,35,44,5316.361963316059,101.95013999938963,49.203646,61.718897
17,32,27,20,41,20,39,2.0827528000239662e-10,97.95695900917052,47.525844,60.093265
16,14,41,42,8,32,28,11880.638154787923,97.0903959274292,49.210289,61.72554
45,47,10,26,24,4,10,0.9999498743923482,77.2676796913147,11.994231,24.073427
50,18,29,20,16,35,16,4.526540827853011e-09,99.89364910125732,49.209202,61.724453
39,4,38,46,22,44,31,5.272587149011667e-11,97.79661107063292,48.622185,61.157284
10,44,13,13,49,43,26,3963.151040236015,76.05533218383789,11.999454,24.078746
9,18,7,14,37,16,44,1597391245.7654579,78.33044409751892,11.996108,24.0754
5,9,6,37,30,51,45,1594231759.1441078,76.78310108184814,11.997619,24.076911
23,7,30,33,24,16,52,0.06600167156220488,96.63045811653136,47.252249,59.83278
3,25,50,38,21,23,26,1000.0,79.01092958450317,11.999965,24.079257
45,46,7,52,15,7,47,1593685386.141408,99.9655876159668,48.621582,61.156279
35,50,32,39,36,17,39,0.03300083459266622,101.26747632026672,48.945968,61.470291
48,45,46,22,7,50,45,319685949.11282665,100.62509202957152,49.210649,61.72554
36,10,28,16,11,52,30,3959.734087405008,75.48396158218384,11.99859,24.077882
25,36,30,48,37,22,27,1.592469804979009e-13,94.1126446723938,48.743822,61.274757
5,38,29,37,42,47,20,263043055.07512733,95.79933786392212,47.261993,59.842524
34,3,15,52,52,44,7,0.033543113313894486,74.25169444084167,12.000586,24.079822
51,42,34,14,8,14,48,13202.468993862334,96.6512212753296,49.20551,61.720689
11,48,51,17,13,22,42,3966.378309022119,74.72026133537292,11.994748,24.07404
29,6,16,51,22,48,41,0.0660016715013231,95.58114218711852,49.211855,61.727106
