var_0,var_1,var_2,var_3,var_4,var_5,var_6,error,time,memory_mean,memory_peak
21,52,25,33,37,16,33,1.901615071018703e+58,80.89039325714111,49.221602,61.736744
31,12,30,35,30,40,22,1.902222500092278e+58,82.42453098297119,47.263203,59.843626
11,29,10,29,44,37,24,0.0,67.03347134590149,12.011279,19.899542
20,35,33,27,50,7,27,1.8949506584777246e+58,80.80072140693665,49.221601,61.736743
29,30,45,18,30,19,50,1.9024413865503827e+58,81.68207955360413,49.201585,61.716728
34,3,12,42,26,7,18,0.0,66.88075709342957,12.011277,19.899541
12,8,52,45,40,34,31,1.8942908945416363e+58,82.53489017486572,47.263209,59.843631
38,33,10,48,3,27,13,0.0,66.4454619884491,12.006757,19.895021
29,26,9,29,52,46,22,0.0,64.32772469520569,12.005348,19.893611
43,22,19,26,43,26,47,1.9016055332305513e+58,83.18074464797974,47.26473,59.845152
28,15,43,45,27,20,30,1.9016158584566745e+58,81.9641489982605,48.629353,61.16305
20,36,29,27,32,8,27,1.8949506584777246e+58,81.2698802947998,49.2216,61.736742
37,3,5,10,31,21,10,0.0,66.968581199646,12.011277,19.899541
45,39,8,28,35,4,40,1.7449362990731466e+58,82.48109149932861,49.202995,61.718138
27,44,39,52,4,42,40,1.7449356505853366e+58,82.20241355895996,49.221602,61.736746
31,3,9,29,10,41,43,0.0,66.53062105178833,12.00324,19.891503
12,8,50,41,52,20,32,1.8942908945416363e+58,81.52310252189636,47.263201,59.843623
34,42,37,39,51,35,33,1.9016523729379007e+58,81.68064451217651,48.628755,61.163464
18,38,18,14,16,43,48,1.9110618697992984e+58,80.9401125907898,47.249517,59.82994
19,43,4,39,8,49,40,2.1536421766527477e+56,81.3334288597107,47.253036,59.63762
41,12,47,43,14,42,13,1.902538904393934e+58,83.29217457771301,48.740909,61.27185
27,38,44,21,17,5,37,2.05455243132424e+58,80.78426861763,49.221599,61.736741
38,23,30,8,44,32,14,2.257223194642448e+58,81.53363013267517,47.263199,59.843621
11,28,41,36,34,29,23,0.0,66.72186803817749,12.011287,19.89955
44,13,27,7,44,51,39,5.87012028714177e+57,82.93232941627502,49.209332,61.724474
17,24,16,45,48,23,36,1.901925422146161e+58,82.01790976524353,49.22183,61.736972
11,34,39,11,17,51,30,0.0,66.13171720504761,12.011561,19.899825
38,50,49,23,52,52,30,1.9016407963207557e+58,83.434730052948,48.451434,60.995373
15,15,41,24,24,24,15,1.9013772866410074e+58,81.23460078239441,49.212849,61.727991
21,33,7,37,38,21,27,1.408825479476e+58,81.56828808784485,49.221602,61.736745
39,35,48,12,12,21,40,1.8645448094712786e+58,82.08027529716492,49.218316,61.73346
5,41,21,19,16,15,28,1.797724337937167e+58,81.85441470146179,47.263432,59.843854
16,38,50,29,23,30,23,1.9015707372105522e+58,81.70721197128296,49.217273,61.732415
38,6,3,16,17,12,33,0.0,66.30986714363098,12.01128,19.899543
17,13,36,30,4,29,48,1.7449172818411363e+58,81.58984422683716,47.263312,59.843734
4,37,29,5,49,38,27,3.6688251794636064e+56,82.05972504615784,47.246709,59.631291
3,50,39,13,10,44,3,0.0,67.33285212516785,12.011278,19.899541
19,51,5,43,31,15,22,9.197171580431954e+56,81.62966752052307,49.221604,61.540906
9,36,22,9,50,22,19,0.0,65.19407916069031,11.994078,19.882342
49,7,32,45,22,15,36,1.8949602490771473e+58,86.40454435348511,48.718141,61.250068
14,20,3,31,11,33,48,0.0,66.2079586982727,12.011393,19.899656
16,9,34,11,41,17,41,0.0,65.72882294654846,12.011397,19.899661
3,4,50,20,32,44,42,0.0,67.47679257392883,12.011283,19.899546
43,7,49,30,20,38,35,1.8949604417126513e+58,82.67847561836243,49.221597,61.73674
48,5,3,30,37,11,43,0.0,66.9038438796997,12.011275,19.899539
38,36,31,13,37,35,29,1.9196046532483417e+58,82.30001592636108,49.221604,61.736747
41,14,44,25,26,27,15,1.9021901978722877e+58,82.35532665252686,48.713451,61.249473
17,25,43,28,15,7,4,2.0979817696816037e+58,82.40995359420776,49.22172,61.736862
42,50,26,26,14,16,42,1.9016180308225931e+58,83.16021347045898,49.221711,61.736854
40,10,52,11,48,30,23,0.0,68.84115505218506,12.01128,19.899544
29,3,23,23,38,40,19,0.0,67.8892183303833,12.011396,19.899659
3,41,34,37,11,40,48,0.0,68.51671361923218,12.011281,19.899544
3,22,6,39,36,8,5,0.0,69.93730068206787,12.011394,19.899657
5,44,15,37,42,42,4,2.0637141634482788e+58,83.25635933876038,49.215975,61.731118
48,49,27,51,31,38,41,1.901652461074378e+58,84.87329339981079,48.636219,61.170847
15,39,47,16,46,44,35,1.899056647369839e+58,83.12233591079712,47.26331,59.843732
44,20,31,21,4,52,23,1.744946237540939e+58,85.50054025650024,47.270781,59.851203
18,50,41,40,45,38,7,1.9136485802095857e+58,83.14979457855225,49.221596,61.736738
