var_0,var_1,var_2,var_3,var_4,var_5,var_6,quality,time,memory_mean,memory_peak
6,12,25,18,46,19,14,-18.469847975456226,731.3796279,49.199328,61.714681
51,16,45,50,34,44,32,39.96416864999564,764.6376212,48.630148,61.165197
36,14,49,47,30,4,30,5.0080888263949274e-05,726.9842346,49.218336,61.733689
49,52,43,8,28,37,47,14.780820840310582,742.4970171,47.247968,59.828601
5,7,4,4,52,20,15,5.09841195639314e-05,741.4357152,47.259936,59.448889
27,41,45,24,16,35,31,21.863188326530587,737.4110684,49.218336,61.733689
14,40,8,19,35,35,25,-21.120424524153833,735.5662019,49.213408,61.728761
21,39,13,30,35,12,15,2.718070957217775,741.8867629,49.218336,61.733689
25,18,10,35,7,21,48,-18.886787975794604,579.3128972,12.008016,19.89649
20,14,35,34,18,8,13,-21.120417454280265,640.0140045,49.220883,61.736236
22,43,27,48,14,15,16,2.7180751154829217,651.4281693,49.212584,61.727937
14,15,38,22,39,22,29,3.411221269996132,647.2990916,49.218336,61.733689
44,12,41,52,51,44,20,25.51033834465933,669.5921128,48.634682,61.169241
20,32,7,37,48,49,32,-21.189313417604918,661.3988438,49.208616,61.723969
9,28,28,22,18,39,39,-8.574383821800936,527.7143121,12.008016,19.89649
23,25,31,36,36,36,7,7.498512523229019,659.2905695,49.218471,61.733824
19,38,36,21,43,4,48,5.008078300209658e-05,658.596638,47.257475,59.838108
25,51,39,35,17,38,41,23.236179399013494,645.5274067,47.280772,59.861405
17,21,40,49,44,41,18,21.46717373513432,652.8400042,48.43883,60.981951
52,17,20,51,45,30,5,4.767968038555807,677.3101437,48.636554,61.171193
37,10,28,30,23,13,27,-8.284162434738468,527.8237572,11.99692,19.885394
3,4,25,37,37,49,44,-6.907755278982137,520.1991713,12.008197,19.896671
7,14,48,45,43,4,7,5.011724865468075e-05,646.4319398,47.259936,59.840569
35,31,13,32,52,4,46,5.008088823230633e-05,655.7902074,47.23952,59.820153
41,40,27,12,50,29,19,20.327898014082667,655.218446,49.218336,61.733689
46,16,7,23,18,17,51,-21.18931504410281,713.6012533,47.259936,59.840569
44,36,38,5,28,19,31,10.646741692618713,750.2708466,47.24656,59.631353
27,50,24,34,43,18,12,14.024379521655868,743.4728854,47.259936,59.840569
7,27,18,7,40,35,38,-8.578544506927509,725.0437691,49.212,61.727353
20,36,46,15,29,27,18,22.153737734876444,746.7955546,47.259936,59.840569
45,7,33,32,17,52,41,23.15268588671232,752.7988148,49.218379,61.733732
45,22,18,34,19,28,47,23.369912468915473,773.732789,48.564236,61.106737
52,37,31,26,27,17,45,3.411222427142155,773.0126116,49.176295,61.691648
32,16,13,16,43,5,49,0.1861975546788249,739.180321,49.218451,61.733804
45,31,20,34,7,43,17,-19.58281556456307,751.7753701,47.269364,59.849819
22,26,30,49,19,5,28,0.1861975447400064,737.8896008,49.217469,61.732822
20,4,40,41,23,42,42,23.668101739017672,740.0059369,49.218336,61.733689
47,24,40,22,12,41,45,-8.283967677746812,763.9300005,49.218336,61.733689
